parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0436,Vacant / Open Plot,17.67,0.0018,0.0044,21.13,21.42,0.0,0.0,0,0.484,0.85,Pending Review,77.211882,28.611692
P-0116,Vacant / Open Plot,17.58,0.0018,0.0043,21.03,35.31,0.0,0.0,0,0.177,0.79,Pending Review,77.210035,28.613245
P-0469,Vacant / Open Plot,17.41,0.0017,0.0043,20.83,20.14,0.0,0.0,0,0.54,0.86,Pending Review,77.210121,28.611482
P-0199,Vacant / Open Plot,17.35,0.0017,0.0043,20.75,25.75,0.0,0.0,0,0.329,0.82,Pending Review,77.210249,28.612798
P-0549,Vacant / Open Plot,17.11,0.0017,0.0042,20.47,22.79,0.0,0.0,0,0.414,0.83,Pending Review,77.211118,28.611214
P-0416,Vacant / Open Plot,16.9,0.0017,0.0042,20.21,21.88,1.5,0.26,1,0.444,0.84,Pending Review,77.211739,28.611799
P-0107,Vacant / Open Plot,16.82,0.0017,0.0042,20.11,23.72,0.0,0.0,0,0.375,0.83,Pending Review,77.210316,28.613334
P-0295,Vacant / Open Plot,16.6,0.0017,0.0041,19.86,18.82,0.0,0.0,0,0.589,0.87,Pending Review,77.210603,28.612377
P-0357,Vacant / Open Plot,16.15,0.0016,0.004,19.32,19.0,0.0,0.0,0,0.562,0.86,Pending Review,77.211855,28.612113
P-0334,Vacant / Open Plot,16.09,0.0016,0.004,19.24,28.05,0.0,0.0,0,0.257,0.8,Pending Review,77.210889,28.612198
P-0070,Vacant / Open Plot,16.15,0.0016,0.004,19.32,25.22,0.0,0.0,0,0.319,0.81,Pending Review,77.21112,28.613471
P-0350,Vacant / Open Plot,16.13,0.0016,0.004,19.29,27.01,0.0,0.0,0,0.278,0.81,Pending Review,77.211714,28.612135
P-0307,Vacant / Open Plot,15.45,0.0015,0.0038,18.48,17.99,0.0,0.0,0,0.6,0.87,Pending Review,77.209695,28.612353
P-0083,Vacant / Open Plot,15.19,0.0015,0.0038,18.17,20.21,0.0,0.0,0,0.468,0.84,Pending Review,77.209149,28.613463
P-0541,Vacant / Open Plot,14.94,0.0015,0.0037,17.86,30.77,0.0,0.0,0,0.198,0.79,Pending Review,77.209037,28.611221
P-0530,Vacant / Open Plot,14.44,0.0014,0.0036,17.27,15.71,0.0,0.0,0,0.735,0.9,Pending Review,77.211303,28.611259
P-0506,Vacant / Open Plot,14.51,0.0015,0.0036,17.35,17.34,0.0,0.0,0,0.607,0.87,Pending Review,77.210229,28.61138
P-0399,Vacant / Open Plot,14.25,0.0014,0.0035,17.04,18.9,0.0,0.0,0,0.501,0.85,Pending Review,77.210745,28.611827
P-0365,Vacant / Open Plot,14.21,0.0014,0.0035,16.99,16.73,0.0,0.0,0,0.638,0.88,Pending Review,77.209429,28.612052
P-0511,Vacant / Open Plot,14.1,0.0014,0.0035,16.87,19.45,0.0,0.0,0,0.468,0.84,Pending Review,77.209017,28.611329
P-0239,Vacant / Open Plot,14.04,0.0014,0.0035,16.79,19.44,0.0,0.0,0,0.467,0.84,Pending Review,77.21173,28.612703
P-0170,Vacant / Open Plot,14.51,0.0015,0.0036,17.35,27.33,0.0,0.0,0,0.244,0.8,Pending Review,77.210243,28.613074
P-0570,Vacant / Open Plot,13.89,0.0014,0.0034,16.61,17.88,0.0,0.0,0,0.546,0.86,Pending Review,77.212086,28.611076
P-0138,Vacant / Open Plot,13.52,0.0014,0.0033,16.18,23.09,0.0,0.0,0,0.319,0.81,Pending Review,77.211942,28.613225
P-0523,Vacant / Open Plot,13.59,0.0014,0.0034,16.25,18.49,0.0,0.0,0,0.499,0.85,Pending Review,77.210583,28.611281
P-0306,Vacant / Open Plot,13.59,0.0014,0.0034,16.25,15.72,0.0,0.0,0,0.691,0.89,Pending Review,77.209406,28.612353
P-0265,Vacant / Open Plot,13.2,0.0013,0.0033,15.79,22.42,0.0,0.0,0,0.33,0.82,Pending Review,77.211451,28.612542
P-0048,Vacant / Open Plot,13.35,0.0013,0.0033,15.97,15.6,0.0,0.0,0,0.69,0.89,Pending Review,77.20959,28.613655
P-0457,Vacant / Open Plot,12.93,0.0013,0.0032,15.46,22.9,0.0,0.0,0,0.31,0.81,Pending Review,77.212234,28.61159
P-0140,Vacant / Open Plot,13.2,0.0013,0.0033,15.79,16.67,0.0,0.0,0,0.597,0.87,Pending Review,77.211022,28.613207
P-0049,Vacant / Open Plot,12.41,0.0012,0.0031,14.85,18.51,0.0,0.0,0,0.455,0.84,Pending Review,77.20974,28.613651
P-0292,Vacant / Open Plot,12.22,0.0012,0.003,14.62,16.84,0.0,0.0,0,0.541,0.86,Pending Review,77.209787,28.612377
P-0001,Vacant / Open Plot,12.33,0.0012,0.003,14.74,21.82,0.0,0.0,0,0.325,0.82,Pending Review,77.209153,28.613889
P-0095,Vacant / Open Plot,12.16,0.0012,0.003,14.54,21.54,0.0,0.0,0,0.329,0.82,Pending Review,77.209176,28.613393
P-0537,Vacant / Open Plot,12.01,0.0012,0.003,14.36,19.62,0.0,0.0,0,0.392,0.83,Pending Review,77.209569,28.611244
P-0163,Vacant / Open Plot,11.9,0.0012,0.0029,14.23,26.34,0.0,0.0,0,0.216,0.79,Pending Review,77.210602,28.613126
P-0006,Vacant / Open Plot,11.86,0.0012,0.0029,14.18,22.86,0.0,0.0,0,0.285,0.81,Pending Review,77.210216,28.613876
P-0084,Vacant / Open Plot,11.58,0.0012,0.0029,13.85,16.32,0.0,0.0,0,0.547,0.86,Pending Review,77.209225,28.613468
P-0183,Vacant / Open Plot,11.5,0.0011,0.0028,13.75,15.48,0.0,0.0,0,0.603,0.87,Pending Review,77.211251,28.613016
P-0493,Vacant / Open Plot,11.71,0.0012,0.0029,14.0,14.35,0.0,0.0,0,0.714,0.89,Pending Review,77.21154,28.611441
P-0205,Vacant / Open Plot,11.56,0.0012,0.0029,13.82,18.46,0.0,0.0,0,0.426,0.84,Pending Review,77.209177,28.612797
P-0123,Vacant / Open Plot,11.71,0.0012,0.0029,14.0,18.17,0.0,0.0,0,0.446,0.84,Pending Review,77.209527,28.613281
P-0525,Vacant / Open Plot,11.39,0.0011,0.0028,13.62,22.29,0.0,0.0,0,0.288,0.81,Pending Review,77.212056,28.611266
P-0321,Vacant / Open Plot,11.13,0.0011,0.0028,13.31,21.27,0.0,0.0,0,0.309,0.81,Pending Review,77.209218,28.612281
P-0025,Vacant / Open Plot,10.66,0.0011,0.0026,12.75,18.05,0.0,0.0,0,0.411,0.83,Pending Review,77.212069,28.613729
P-0275,Vacant / Open Plot,10.7,0.0011,0.0026,12.8,22.04,0.0,0.0,0,0.277,0.81,Pending Review,77.210176,28.612466
P-0267,Vacant / Open Plot,10.83,0.0011,0.0027,12.96,17.89,0.0,0.0,0,0.425,0.84,Pending Review,77.211373,28.612532
P-0258,Vacant / Open Plot,10.66,0.0011,0.0026,12.75,15.36,0.0,0.0,0,0.568,0.86,Pending Review,77.211443,28.612598
P-0432,Vacant / Open Plot,10.47,0.001,0.0026,12.52,18.29,0.0,0.0,0,0.393,0.83,Pending Review,77.211248,28.6117
P-0372,Vacant / Open Plot,9.94,0.001,0.0025,11.88,14.08,0.0,0.0,0,0.63,0.88,Pending Review,77.210676,28.612041
P-0318,Vacant / Open Plot,10.0,0.001,0.0025,11.96,14.78,0.0,0.0,0,0.575,0.86,Pending Review,77.211425,28.612301
P-0147,Vacant / Open Plot,10.02,0.001,0.0025,11.98,12.92,0.0,0.0,0,0.754,0.9,Pending Review,77.211292,28.613189
P-0173,Vacant / Open Plot,9.85,0.001,0.0024,11.78,21.14,0.0,0.0,0,0.277,0.81,Pending Review,77.210634,28.613059
P-0250,Vacant / Open Plot,9.55,0.001,0.0024,11.42,13.76,0.0,0.0,0,0.634,0.88,Pending Review,77.210367,28.612623
P-0467,Vacant / Open Plot,9.25,0.0009,0.0023,11.06,17.19,0.0,0.0,0,0.393,0.83,Pending Review,77.21132,28.611546
P-0373,Vacant / Open Plot,8.95,0.0009,0.0022,10.71,14.3,0.0,0.0,0,0.55,0.86,Pending Review,77.211002,28.612039
P-0303,Vacant / Open Plot,9.14,0.0009,0.0023,10.94,21.74,0.0,0.0,0,0.243,0.8,Pending Review,77.211803,28.612365
P-0508,Vacant / Open Plot,9.0,0.0009,0.0022,10.76,18.01,0.0,0.0,0,0.349,0.82,Pending Review,77.21147,28.611382
P-0122,Vacant / Open Plot,8.7,0.0009,0.0021,10.4,12.09,0.0,0.0,0,0.748,0.9,Pending Review,77.210939,28.613287
P-0109,Vacant / Open Plot,9.02,0.0009,0.0022,10.78,22.11,0.0,0.0,0,0.232,0.8,Pending Review,77.210479,28.613281
P-0504,Vacant / Open Plot,8.38,0.0008,0.0021,10.02,14.55,0.0,0.0,0,0.497,0.85,Pending Review,77.211213,28.611396
P-0400,Vacant / Open Plot,8.35,0.0008,0.0021,9.99,18.91,0.0,0.0,0,0.293,0.81,Pending Review,77.211428,28.611842
P-0393,Vacant / Open Plot,8.44,0.0008,0.0021,10.09,14.92,0.0,0.0,0,0.476,0.85,Pending Review,77.210724,28.611872
P-0448,Vacant / Open Plot,8.44,0.0008,0.0021,10.09,14.82,0.0,0.0,0,0.483,0.85,Pending Review,77.211768,28.611646
P-0091,Vacant / Open Plot,8.1,0.0008,0.002,9.68,15.78,0.0,0.0,0,0.409,0.83,Pending Review,77.210156,28.613427
P-0214,Vacant / Open Plot,8.5,0.0009,0.0021,10.17,11.91,0.0,0.0,0,0.753,0.9,Pending Review,77.210443,28.61278
P-0535,Vacant / Open Plot,8.55,0.0009,0.0021,10.22,18.11,0.0,0.0,0,0.327,0.82,Pending Review,77.211036,28.61125
P-0141,Vacant / Open Plot,8.42,0.0008,0.0021,10.07,13.23,0.0,0.0,0,0.604,0.87,Pending Review,77.209175,28.613212
P-0040,Vacant / Open Plot,7.99,0.0008,0.002,9.56,28.6,0.0,0.0,0,0.123,0.77,Pending Review,77.20922,28.613695
P-0271,Vacant / Open Plot,8.27,0.0008,0.002,9.89,13.33,0.0,0.0,0,0.585,0.87,Pending Review,77.211291,28.612522
P-0496,Vacant / Open Plot,8.06,0.0008,0.002,9.63,12.81,0.0,0.0,0,0.617,0.87,Pending Review,77.209983,28.611423
