Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0069,Building,Structure,19.4,0.0019,0.0048,23.2,19.14,10,88%,Verified
CAD-0070,Building,Structure,27.72,0.0028,0.0068,33.15,21.28,5,88%,Verified
CAD-0071,Building,Structure,1208.28,0.1208,0.2986,1445.1,159.84,5,88%,Verified
CAD-0072,Building,Structure,528.86,0.0529,0.1307,632.52,108.96,5,88%,Verified
CAD-0073,Building,Structure,179.22,0.0179,0.0443,214.35,59.65,7,88%,Verified
CAD-0074,Building,Structure,601.49,0.0601,0.1486,719.38,123.45,5,88%,Verified
CAD-0075,Building,Structure,1379.72,0.138,0.3409,1650.15,176.0,11,88%,Verified
CAD-0076,Building,Structure,198.63,0.0199,0.0491,237.56,58.8,12,88%,Verified
CAD-0077,Building,Structure,614.63,0.0615,0.1519,735.1,125.92,5,88%,Verified
CAD-0078,Building,Structure,1578.3,0.1578,0.39,1887.65,273.62,20,88%,Verified
CAD-0079,Building,Structure,14671.52,1.4672,3.6254,17547.14,1037.1,25,88%,Verified
CAD-0080,Building,Structure,32.13,0.0032,0.0079,38.43,23.74,8,88%,Verified
CAD-0081,Building,Structure,28.72,0.0029,0.0071,34.35,22.24,5,88%,Verified
CAD-0082,Building,Structure,527.68,0.0528,0.1304,631.11,104.8,5,88%,Verified
CAD-0083,Building,Structure,2653.8,0.2654,0.6558,3173.94,314.57,19,88%,Verified
CAD-0084,Building,Structure,15.79,0.0016,0.0039,18.88,16.39,9,88%,Verified
CAD-0085,Building,Structure,28.61,0.0029,0.0071,34.22,22.47,10,88%,Verified
CAD-0086,Building,Structure,309.3,0.0309,0.0764,369.92,72.27,7,88%,Verified
CAD-0087,Building,Structure,448.26,0.0448,0.1108,536.12,84.01,10,88%,Verified
CAD-0088,Tree / Forest,Vegetation,3.77,0.0004,0.0009,4.51,27.05,5,85%,Pending Review
CAD-0089,Tree / Forest,Vegetation,7.4,0.0007,0.0018,8.85,18.54,6,85%,Pending Review
CAD-0090,Tree / Forest,Vegetation,7.62,0.0008,0.0019,9.11,15.11,8,85%,Pending Review
CAD-0091,Tree / Forest,Vegetation,23.18,0.0023,0.0057,27.72,23.56,8,85%,Pending Review
CAD-0092,Tree / Forest,Vegetation,30.81,0.0031,0.0076,36.85,32.41,8,85%,Pending Review
CAD-0093,Tree / Forest,Vegetation,2.94,0.0003,0.0007,3.52,7.91,11,85%,Pending Review
CAD-0094,Tree / Forest,Vegetation,4.4,0.0004,0.0011,5.26,8.63,11,85%,Pending Review
CAD-0095,Tree / Forest,Vegetation,14.43,0.0014,0.0036,17.26,20.55,9,85%,Pending Review
CAD-0096,Tree / Forest,Vegetation,4.32,0.0004,0.0011,5.17,10.45,10,85%,Pending Review
CAD-0097,Tree / Forest,Vegetation,3.21,0.0003,0.0008,3.84,8.12,10,85%,Pending Review
CAD-0098,Tree / Forest,Vegetation,2.58,0.0003,0.0006,3.09,7.05,11,85%,Pending Review
CAD-0099,Tree / Forest,Vegetation,4.49,0.0004,0.0011,5.37,10.02,11,85%,Pending Review
CAD-0100,Tree / Forest,Vegetation,70.57,0.0071,0.0174,84.4,46.8,9,85%,Pending Review
CAD-0101,Tree / Forest,Vegetation,61.63,0.0062,0.0152,73.71,45.88,8,85%,Pending Review
CAD-0102,Tree / Forest,Vegetation,220.6,0.0221,0.0545,263.84,67.05,9,85%,Pending Review
CAD-0103,Tree / Forest,Vegetation,282.54,0.0283,0.0698,337.92,67.8,8,85%,Pending Review
CAD-0104,Tree / Forest,Vegetation,8.94,0.0009,0.0022,10.69,15.7,9,85%,Pending Review
CAD-0105,Tree / Forest,Vegetation,348.72,0.0349,0.0862,417.07,90.43,8,85%,Pending Review
CAD-0106,Tree / Forest,Vegetation,344.38,0.0344,0.0851,411.88,84.85,10,85%,Pending Review
CAD-0107,Tree / Forest,Vegetation,6.01,0.0006,0.0015,7.19,10.65,10,85%,Pending Review
CAD-0108,Tree / Forest,Vegetation,2.84,0.0003,0.0007,3.4,9.51,8,85%,Pending Review
CAD-0109,Tree / Forest,Vegetation,18.44,0.0018,0.0046,22.05,22.53,9,85%,Pending Review
CAD-0110,Tree / Forest,Vegetation,157.56,0.0158,0.0389,188.44,52.49,9,85%,Pending Review
CAD-0111,Tree / Forest,Vegetation,9.48,0.0009,0.0023,11.34,12.65,10,85%,Pending Review
CAD-0112,Tree / Forest,Vegetation,97.19,0.0097,0.024,116.24,40.25,11,85%,Pending Review
CAD-0113,Tree / Forest,Vegetation,8.65,0.0009,0.0021,10.35,16.04,9,85%,Pending Review
CAD-0114,Tree / Forest,Vegetation,259.74,0.026,0.0642,310.65,82.91,7,85%,Pending Review
CAD-0115,Tree / Forest,Vegetation,7.47,0.0007,0.0018,8.93,12.39,10,85%,Pending Review
CAD-0116,Tree / Forest,Vegetation,4.67,0.0005,0.0012,5.59,8.72,12,85%,Pending Review
CAD-0117,Tree / Forest,Vegetation,4.68,0.0005,0.0012,5.6,9.55,10,85%,Pending Review
CAD-0118,Tree / Forest,Vegetation,10.2,0.001,0.0025,12.2,13.84,9,85%,Pending Review
CAD-0119,Tree / Forest,Vegetation,13.97,0.0014,0.0035,16.71,18.0,7,85%,Pending Review
CAD-0120,Tree / Forest,Vegetation,9.67,0.001,0.0024,11.57,13.19,10,85%,Pending Review
CAD-0121,Tree / Forest,Vegetation,13.63,0.0014,0.0034,16.3,36.84,7,85%,Pending Review
CAD-0122,Tree / Forest,Vegetation,36.62,0.0037,0.009,43.8,25.13,11,85%,Pending Review
CAD-0123,Tree / Forest,Vegetation,5.32,0.0005,0.0013,6.36,10.02,10,85%,Pending Review
CAD-0124,Tree / Forest,Vegetation,231.2,0.0231,0.0571,276.52,63.93,10,85%,Pending Review
CAD-0125,Tree / Forest,Vegetation,8.88,0.0009,0.0022,10.62,11.32,10,85%,Pending Review
